funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
2 people found this review funny,"Posted January 24, 2015.",,313120,1 of 1 people (100%) found this review helpful,True,1
,Posted January 4.,Last edited January 10.,393380,0 of 1 people (0%) found this review helpful,True,2
,"Posted November 2, 2014.",,209160,2 of 16 people (13%) found this review helpful,True,1
,"Posted August 5, 2015.",,50300,No ratings yet,True,2
,"Posted December 24, 2014.",,12210,No ratings yet,False,0
,"Posted December 20, 2014.",,258520,No ratings yet,True,2
,"Posted November 3, 2014.",,107410,No ratings yet,True,1
,"Posted July 3, 2014.",,224260,No ratings yet,True,0
,"Posted December 21, 2013.","Last edited December 21, 2013.",221100,No ratings yet,True,2
,"Posted November 28, 2013.",,4000,No ratings yet,True,1
