funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted January 22, 2015.",,440,1 of 1 people (100%) found this review helpful,True,1
,"Posted June 18, 2014.",,8930,1 of 1 people (100%) found this review helpful,True,2
,"Posted November 8, 2014.",,245470,5 of 11 people (45%) found this review helpful,True,1
,"Posted May 31, 2014.","Last edited June 1, 2014.",730,0 of 2 people (0%) found this review helpful,False,0
,"Posted January 19, 2015.",,570,No ratings yet,True,2
,"Posted June 28, 2014.",,219890,No ratings yet,True,0
,"Posted May 12, 2014.",,220200,No ratings yet,True,1
,"Posted May 3, 2014.",,242820,No ratings yet,True,1
1 person found this review funny,"Posted April 21, 2014.","Last edited May 15, 2015.",208090,No ratings yet,True,0
1 person found this review funny,"Posted April 14, 2014.",,620,No ratings yet,True,1
