funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted August 30, 2015.",,388520,No ratings yet,False,0
,"Posted October 21, 2014.",,224600,No ratings yet,True,2
,"Posted June 6, 2014.",,213850,No ratings yet,True,2
,"Posted May 28, 2014.",,107410,No ratings yet,True,2
,"Posted May 28, 2014.",,70000,No ratings yet,True,2
,"Posted May 28, 2014.",,104900,No ratings yet,True,2
,"Posted May 28, 2014.",,215470,No ratings yet,True,2
,"Posted May 5, 2014.",,234330,No ratings yet,True,2
,"Posted December 14, 2013.",,570,No ratings yet,True,1
,"Posted December 31, 2012.","Last edited November 25, 2013.",218230,No ratings yet,True,2
