funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted December 31, 2015.",,224540,1 of 2 people (50%) found this review helpful,False,2
,"Posted September 28, 2015.",,234140,0 of 1 people (0%) found this review helpful,True,2
,"Posted June 23, 2015.",,333930,0 of 1 people (0%) found this review helpful,False,1
,"Posted November 10, 2015.",,299360,0 of 2 people (0%) found this review helpful,False,1
,"Posted July 12, 2014.",,51100,0 of 2 people (0%) found this review helpful,False,0
3 people found this review funny,"Posted May 15, 2015.",,227700,1 of 6 people (17%) found this review helpful,False,0
,Posted May 14.,,287390,No ratings yet,True,1
,"Posted July 17, 2015.",,12210,No ratings yet,True,0
,"Posted January 31, 2015.",,346010,No ratings yet,True,2
,"Posted March 22, 2013.",,440,No ratings yet,True,2
