funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted October 28, 2014.",,730,1 of 1 people (100%) found this review helpful,True,2
,"Posted October 28, 2014.",,218620,2 of 3 people (67%) found this review helpful,True,2
,"Posted January 1, 2014.",,221100,2 of 3 people (67%) found this review helpful,True,1
,"Posted November 6, 2014.",,250900,12 of 23 people (52%) found this review helpful,True,2
1 person found this review funny,Posted February 8.,,239030,1 of 2 people (50%) found this review helpful,True,1
,"Posted June 9, 2015.",,252350,1 of 2 people (50%) found this review helpful,True,1
,"Posted October 28, 2014.",,440,1 of 2 people (50%) found this review helpful,True,2
,"Posted October 1, 2014.",,323500,4 of 9 people (44%) found this review helpful,True,1
,"Posted October 28, 2014.",,222880,4 of 42 people (10%) found this review helpful,False,2
,"Posted October 28, 2014.",,219150,No ratings yet,True,2
