funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted October 11, 2014.",,237110,2 of 2 people (100%) found this review helpful,True,2
,"Posted May 28, 2014.",,440,2 of 2 people (100%) found this review helpful,True,2
1 person found this review funny,"Posted November 1, 2014.",,206420,1 of 1 people (100%) found this review helpful,True,2
,Posted April 26.,,413150,No ratings yet,True,1
,Posted January 8.,,4000,No ratings yet,True,1
,"Posted June 17, 2015.",,218620,No ratings yet,True,0
,"Posted September 21, 2014.",,8190,No ratings yet,True,2
,"Posted September 13, 2014.",,222900,No ratings yet,True,2
,"Posted September 7, 2014.",,105600,No ratings yet,True,2
,"Posted July 19, 2014.",,304930,No ratings yet,True,1
