funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted March 24, 2014.",,218620,0 of 1 people (0%) found this review helpful,True,1
,"Posted September 15, 2015.",,57300,No ratings yet,True,1
,"Posted April 4, 2015.",,7670,No ratings yet,True,1
,"Posted March 13, 2015.",,550,No ratings yet,True,1
,"Posted January 20, 2015.",,282070,No ratings yet,True,1
,"Posted October 6, 2014.",,207610,No ratings yet,True,1
,"Posted March 13, 2014.",,8930,No ratings yet,True,1
,"Posted December 10, 2013.",,242050,No ratings yet,True,1
,"Posted December 3, 2013.","Last edited June 7, 2014.",4000,No ratings yet,True,1
,"Posted October 13, 2013.",,8870,No ratings yet,True,1
