funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted October 30, 2014.",,209080,16 of 22 people (73%) found this review helpful,True,1
,"Posted November 30, 2015.",,330570,12 of 15 people (80%) found this review helpful,True,1
1 person found this review funny,"Posted February 10, 2015.",,236370,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted August 23, 2014.",,205100,1 of 1 people (100%) found this review helpful,True,1
,Posted May 16.,,227680,1 of 2 people (50%) found this review helpful,False,2
,Posted January 14.,,355180,2 of 4 people (50%) found this review helpful,True,1
,"Posted November 30, 2015.",,271590,2 of 4 people (50%) found this review helpful,False,1
,"Posted July 29, 2014.",,227700,1 of 2 people (50%) found this review helpful,True,1
1 person found this review funny,"Posted February 25, 2015.",,328500,2 of 5 people (40%) found this review helpful,True,1
,"Posted November 30, 2014.",,8190,No ratings yet,True,2
