funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
33 people found this review funny,Posted March 8.,Last edited March 9.,365590,360 of 660 people (55%) found this review helpful,False,0
,Posted February 27.,,383870,1 of 1 people (100%) found this review helpful,True,1
,Posted January 3.,,8190,1 of 1 people (100%) found this review helpful,True,1
,"Posted November 27, 2015.",,245170,1 of 1 people (100%) found this review helpful,True,1
,"Posted October 20, 2015.",,273110,1 of 1 people (100%) found this review helpful,False,1
1 person found this review funny,"Posted September 3, 2015.",,4000,1 of 1 people (100%) found this review helpful,True,1
,"Posted August 19, 2015.",,38210,1 of 1 people (100%) found this review helpful,True,1
,"Posted June 3, 2015.","Last edited December 24, 2015.",235070,1 of 1 people (100%) found this review helpful,False,1
,"Posted October 20, 2015.",,363460,1 of 2 people (50%) found this review helpful,True,1
1 person found this review funny,"Posted July 6, 2015.","Last edited July 7, 2015.",227940,2 of 4 people (50%) found this review helpful,True,1
