funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted March 18, 2014.",,620,2 of 2 people (100%) found this review helpful,True,2
3 people found this review funny,"Posted January 18, 2015.",,253710,3 of 4 people (75%) found this review helpful,True,1
1 person found this review funny,"Posted May 8, 2014.",,219740,1 of 1 people (100%) found this review helpful,True,2
1 person found this review funny,"Posted November 2, 2014.",,104900,1 of 3 people (33%) found this review helpful,True,1
2 people found this review funny,"Posted May 24, 2014.",,340,0 of 1 people (0%) found this review helpful,True,1
,Posted January 20.,,387990,1 of 7 people (14%) found this review helpful,True,2
,"Posted December 19, 2015.",,72850,No ratings yet,True,2
,"Posted June 13, 2015.",,730,No ratings yet,True,1
,"Posted June 13, 2015.",,17520,No ratings yet,True,1
1 person found this review funny,"Posted May 29, 2014.",,221100,No ratings yet,True,2
