funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,Posted May 23.,,226700,3 of 4 people (75%) found this review helpful,False,0
,Posted January 16.,,349700,2 of 3 people (67%) found this review helpful,False,0
,Posted August 31.,,113400,2 of 4 people (50%) found this review helpful,False,0
,Posted July 4.,,209870,1 of 2 people (50%) found this review helpful,False,0
,"Posted December 22, 2014.",,99900,0 of 1 people (0%) found this review helpful,True,1
,Posted September 10.,,730,No ratings yet,False,0
,Posted July 28.,,295110,No ratings yet,False,1
,Posted July 23.,,251570,No ratings yet,True,2
,Posted January 19.,,363970,No ratings yet,True,1
,Posted January 16.,,304930,No ratings yet,True,2
