funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted September 4, 2013.",,105600,2 of 2 people (100%) found this review helpful,True,0
,Posted May 19.,,413150,0 of 1 people (0%) found this review helpful,True,0
,"Posted January 2, 2015.",,241930,0 of 1 people (0%) found this review helpful,True,2
,"Posted January 2, 2015.",,213670,0 of 1 people (0%) found this review helpful,True,2
,"Posted December 2, 2014.",,200510,0 of 1 people (0%) found this review helpful,True,1
,"Posted July 25, 2014.",,211820,2 of 11 people (18%) found this review helpful,True,2
,"Posted January 2, 2015.",,202170,No ratings yet,True,2
,"Posted October 7, 2014.",,206190,No ratings yet,True,2
,"Posted July 25, 2014.",,49520,No ratings yet,True,2
,"Posted July 25, 2014.","Last edited April 25, 2015.",730,No ratings yet,True,2
