funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted December 18, 2015.",,550,1 of 2 people (50%) found this review helpful,True,1
1 person found this review funny,"Posted April 30, 2015.",,218620,1 of 3 people (33%) found this review helpful,True,2
,"Posted July 16, 2014.",,239160,0 of 1 people (0%) found this review helpful,True,1
1 person found this review funny,"Posted December 18, 2013.",,4000,0 of 2 people (0%) found this review helpful,True,1
,Posted March 12.,,51100,No ratings yet,False,1
,"Posted June 4, 2015.",,22380,No ratings yet,True,1
,"Posted May 20, 2015.",,346900,No ratings yet,True,1
,"Posted March 15, 2015.",,354500,No ratings yet,True,1
,"Posted January 26, 2015.",,72850,No ratings yet,True,2
,"Posted January 23, 2015.",,440,No ratings yet,True,2
