funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted October 31, 2014.","Last edited March 2, 2015.",72730,16 of 19 people (84%) found this review helpful,True,2
,"Posted January 29, 2015.",,232430,62 of 109 people (57%) found this review helpful,False,1
1 person found this review funny,"Posted March 5, 2015.",,50300,2 of 2 people (100%) found this review helpful,True,1
,"Posted September 23, 2014.","Last edited March 5, 2015.",205100,2 of 3 people (67%) found this review helpful,True,1
,"Posted October 5, 2014.",,241540,4 of 7 people (57%) found this review helpful,True,1
,"Posted July 26, 2014.",,8190,1 of 2 people (50%) found this review helpful,True,1
,"Posted June 25, 2014.",,550,1 of 2 people (50%) found this review helpful,True,1
,"Posted February 5, 2014.",,630,1 of 2 people (50%) found this review helpful,True,1
,"Posted October 31, 2013.","Last edited June 24, 2014.",22370,1 of 2 people (50%) found this review helpful,True,1
,"Posted November 21, 2014.",,282070,No ratings yet,True,1
