funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
214 people found this review funny,"Posted June 5, 2015.",,246620,187 of 215 people (87%) found this review helpful,True,0
,"Posted September 8, 2015.",,346900,1 of 1 people (100%) found this review helpful,True,1
,"Posted July 28, 2015.",,239030,1 of 1 people (100%) found this review helpful,True,1
,"Posted May 10, 2015.",,230050,1 of 1 people (100%) found this review helpful,True,1
,"Posted April 23, 2015.","Last edited July 7, 2015.",232090,1 of 1 people (100%) found this review helpful,True,1
,"Posted September 18, 2014.",,550,1 of 1 people (100%) found this review helpful,True,1
,"Posted September 3, 2014.","Last edited October 27, 2015.",319510,1 of 1 people (100%) found this review helpful,False,2
1 person found this review funny,"Posted August 8, 2014.","Last edited May 5, 2015.",218620,1 of 1 people (100%) found this review helpful,True,2
2 people found this review funny,"Posted May 30, 2014.","Last edited August 11, 2015.",4000,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted August 2, 2012.","Last edited June 10, 2015.",440,1 of 1 people (100%) found this review helpful,True,1
