funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,Posted September 3.,,219150,3 of 3 people (100%) found this review helpful,True,2
1 person found this review funny,"Posted November 3, 2014.","Last edited November 17, 2014.",9480,5 of 7 people (71%) found this review helpful,True,1
,"Posted January 5, 2015.",,620,1 of 1 people (100%) found this review helpful,True,1
,"Posted December 4, 2014.",,72850,1 of 1 people (100%) found this review helpful,True,2
,"Posted December 1, 2014.","Last edited December 1, 2014.",24960,1 of 1 people (100%) found this review helpful,True,2
,"Posted November 21, 2014.","Last edited November 21, 2014.",55230,1 of 1 people (100%) found this review helpful,True,1
,"Posted December 11, 2014.","Last edited December 11, 2014.",12120,1 of 2 people (50%) found this review helpful,True,2
,"Posted December 16, 2013.","Last edited November 23, 2014.",12220,1 of 2 people (50%) found this review helpful,True,2
,"Posted September 23, 2014.",,206420,No ratings yet,True,2
,"Posted January 8, 2014.",,33230,No ratings yet,True,1
