funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted June 10, 2014.",,17520,No ratings yet,True,2
,"Posted May 2, 2014.","Last edited July 2, 2014.",340,No ratings yet,False,2
,"Posted May 2, 2014.",,240,No ratings yet,True,2
,"Posted May 2, 2014.",,420,No ratings yet,True,2
,"Posted May 2, 2014.",,620,No ratings yet,True,2
,"Posted May 2, 2014.",,286080,No ratings yet,True,2
,"Posted April 16, 2014.",,280,No ratings yet,True,2
,"Posted January 14, 2014.","Last edited March 15, 2014.",400,No ratings yet,True,2
,"Posted January 10, 2014.","Last edited January 10, 2014.",220,No ratings yet,True,2
,"Posted December 6, 2013.","Last edited June 13, 2014.",4000,No ratings yet,True,1
