funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
2 people found this review funny,"Posted November 5, 2015.",,355950,33 of 39 people (85%) found this review helpful,True,1
14 people found this review funny,"Posted June 20, 2015.",,22330,29 of 34 people (85%) found this review helpful,True,1
2 people found this review funny,"Posted October 7, 2015.","Last edited October 7, 2015.",375960,35 of 49 people (71%) found this review helpful,False,1
,"Posted February 23, 2015.","Last edited February 23, 2015.",306130,34 of 50 people (68%) found this review helpful,True,1
,"Posted January 3, 2015.","Last edited January 4, 2015.",22320,9 of 10 people (90%) found this review helpful,True,1
,"Posted February 5, 2015.","Last edited February 5, 2015.",282070,3 of 3 people (100%) found this review helpful,True,1
,"Posted June 30, 2013.",,72850,2 of 2 people (100%) found this review helpful,True,2
,"Posted March 26, 2015.",,291650,3 of 4 people (75%) found this review helpful,True,1
,"Posted February 23, 2015.",,105450,3 of 4 people (75%) found this review helpful,True,1
,"Posted April 13, 2015.",,271590,7 of 12 people (58%) found this review helpful,True,1
