funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted November 26, 2013.",,200260,2 of 2 people (100%) found this review helpful,True,2
,"Posted April 3, 2012.",,440,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted August 22, 2013.",,223390,3 of 5 people (60%) found this review helpful,True,1
1 person found this review funny,"Posted November 26, 2013.",,212180,5 of 11 people (45%) found this review helpful,False,0
1 person found this review funny,"Posted February 7, 2014.",,49520,0 of 1 people (0%) found this review helpful,True,0
1 person found this review funny,"Posted January 19, 2014.",,8870,No ratings yet,True,2
1 person found this review funny,"Posted November 26, 2013.",,4000,No ratings yet,True,0
1 person found this review funny,"Posted November 26, 2013.",,570,No ratings yet,True,1
1 person found this review funny,"Posted June 19, 2013.",,218230,No ratings yet,True,1
,"Posted February 25, 2013.",,224540,No ratings yet,True,0
