funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted December 5, 2014.",,34900,3 of 5 people (60%) found this review helpful,False,0
,"Posted December 10, 2014.","Last edited January 8, 2015.",8870,0 of 1 people (0%) found this review helpful,True,2
1 person found this review funny,"Posted August 19, 2015.",,218230,0 of 2 people (0%) found this review helpful,False,1
,"Posted November 3, 2015.",,333930,No ratings yet,True,1
,"Posted October 28, 2015.","Last edited October 28, 2015.",272890,No ratings yet,False,1
,"Posted September 27, 2015.","Last edited September 27, 2015.",57300,No ratings yet,True,1
,"Posted August 15, 2015.",,200260,No ratings yet,True,1
,"Posted August 13, 2015.",,252950,No ratings yet,True,2
,"Posted January 18, 2015.",,209650,No ratings yet,True,2
,"Posted January 8, 2015.",,35140,No ratings yet,True,2
