funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted June 5, 2015.","Last edited June 5, 2015.",218230,0 of 3 people (0%) found this review helpful,False,2
,Posted July 1.,,233250,2 of 9 people (22%) found this review helpful,False,1
,"Posted April 18, 2014.",,440,3 of 12 people (25%) found this review helpful,False,0
,Posted August 24.,,730,No ratings yet,False,0
,Posted March 16.,,227680,No ratings yet,False,2
,"Posted May 21, 2015.",Last edited February 12.,227940,No ratings yet,False,0
,"Posted May 6, 2015.",Last edited February 12.,10130,No ratings yet,True,2
1 person found this review funny,"Posted April 12, 2015.",Last edited February 12.,209870,No ratings yet,False,2
,"Posted March 25, 2015.",Last edited February 12.,107900,No ratings yet,False,1
,"Posted March 8, 2014.",Last edited June 3.,209160,No ratings yet,True,0
