funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted October 29, 2014.",,259080,5 of 5 people (100%) found this review helpful,True,1
,"Posted December 31, 2015.",,391540,1 of 1 people (100%) found this review helpful,True,0
,"Posted December 19, 2015.",,319140,0 of 1 people (0%) found this review helpful,True,1
,"Posted October 10, 2015.",,243470,0 of 1 people (0%) found this review helpful,True,2
,"Posted February 17, 2014.",,207140,0 of 1 people (0%) found this review helpful,True,2
,"Posted October 29, 2014.",,265930,0 of 2 people (0%) found this review helpful,True,1
,"Posted December 29, 2014.","Last edited October 5, 2015.",238460,No ratings yet,True,2
,"Posted October 29, 2014.",,8190,No ratings yet,True,2
,"Posted September 23, 2014.",,4000,No ratings yet,True,2
,"Posted August 16, 2013.","Last edited December 22, 2015.",440,No ratings yet,True,2
