funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
2 people found this review funny,Posted January 26.,,410670,3 of 3 people (100%) found this review helpful,True,1
,"Posted October 9, 2014.",,268750,1 of 1 people (100%) found this review helpful,True,1
,Posted April 9.,,377160,1 of 2 people (50%) found this review helpful,False,2
,"Posted December 6, 2014.",,223390,0 of 1 people (0%) found this review helpful,False,1
,"Posted December 27, 2014.",,22380,No ratings yet,True,2
,"Posted December 15, 2014.",,234190,No ratings yet,True,1
,"Posted November 8, 2014.",,250900,No ratings yet,True,0
,"Posted October 9, 2014.",,49520,No ratings yet,True,2
,"Posted August 14, 2014.",,22370,No ratings yet,True,2
,"Posted January 19, 2014.",,33230,No ratings yet,True,2
