funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted March 14, 2015.",,1250,0 of 1 people (0%) found this review helpful,True,2
,"Posted December 7, 2014.",,200510,0 of 1 people (0%) found this review helpful,True,2
,"Posted December 7, 2014.",,22380,0 of 1 people (0%) found this review helpful,True,2
,"Posted March 22, 2014.",,104900,0 of 1 people (0%) found this review helpful,False,1
,"Posted February 28, 2014.",,224260,0 of 1 people (0%) found this review helpful,True,1
5 people found this review funny,"Posted April 7, 2015.",,12750,1 of 4 people (25%) found this review helpful,True,1
,"Posted April 7, 2015.",,218620,1 of 4 people (25%) found this review helpful,True,1
,"Posted December 19, 2014.",,232770,1 of 4 people (25%) found this review helpful,True,1
,"Posted November 3, 2015.",,397550,0 of 2 people (0%) found this review helpful,True,2
,"Posted December 20, 2014.",,289130,0 of 3 people (0%) found this review helpful,False,2
