funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted June 9, 2015.",,238960,0 of 1 people (0%) found this review helpful,True,2
,"Posted November 14, 2012.","Last edited September 23, 2015.",570,0 of 1 people (0%) found this review helpful,True,1
1 person found this review funny,Posted May 10.,,389870,2 of 6 people (33%) found this review helpful,True,1
,Posted January 17.,,230410,No ratings yet,True,1
,"Posted October 5, 2015.",,21090,No ratings yet,True,2
,"Posted September 30, 2015.","Last edited October 30, 2015.",239140,No ratings yet,True,1
1 person found this review funny,"Posted September 29, 2014.",,17520,No ratings yet,True,1
,"Posted September 2, 2014.",,268420,No ratings yet,True,1
,"Posted June 24, 2014.",,1250,No ratings yet,True,1
,"Posted March 21, 2014.",,212500,No ratings yet,True,2
