funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted November 18, 2014.",,332800,15 of 25 people (60%) found this review helpful,True,1
,"Posted August 16, 2014.",,222880,2 of 2 people (100%) found this review helpful,True,2
,"Posted July 23, 2014.",,105600,2 of 2 people (100%) found this review helpful,True,2
,"Posted May 3, 2014.",,221100,1 of 1 people (100%) found this review helpful,True,2
,"Posted March 19, 2014.",,72850,1 of 1 people (100%) found this review helpful,True,2
,"Posted August 6, 2014.",,211820,3 of 8 people (38%) found this review helpful,True,1
,"Posted December 13, 2014.",,730,0 of 2 people (0%) found this review helpful,False,2
,"Posted December 12, 2014.",,218230,No ratings yet,True,2
,"Posted November 28, 2014.",,4000,No ratings yet,True,2
,"Posted November 27, 2014.",,212680,No ratings yet,True,2
