funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted July 4, 2015.","Last edited September 15, 2015.",730,1 of 1 people (100%) found this review helpful,True,1
,"Posted October 10, 2014.","Last edited November 2, 2014.",241930,1 of 2 people (50%) found this review helpful,True,1
,"Posted August 17, 2015.",,252490,No ratings yet,True,2
,"Posted October 10, 2014.",,72850,No ratings yet,True,2
,"Posted April 24, 2014.",,213670,No ratings yet,True,1
,"Posted April 24, 2014.",,211820,No ratings yet,True,1
,"Posted April 24, 2014.",,4000,No ratings yet,True,2
,"Posted January 12, 2014.",,440,No ratings yet,True,1
,"Posted July 13, 2013.",,8980,No ratings yet,True,2
,"Posted January 6, 2013.",,500,No ratings yet,True,2
