funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted November 30, 2013.","Last edited December 31, 2013.",200510,1 of 1 people (100%) found this review helpful,True,2
1 person found this review funny,"Posted March 7, 2015.",,323470,2 of 3 people (67%) found this review helpful,True,2
,"Posted January 1, 2014.",,241600,2 of 3 people (67%) found this review helpful,True,1
,"Posted December 31, 2013.",,204300,1 of 2 people (50%) found this review helpful,True,1
1 person found this review funny,"Posted November 27, 2014.",,218620,0 of 1 people (0%) found this review helpful,True,2
,"Posted August 24, 2014.",,293540,0 of 1 people (0%) found this review helpful,False,0
,"Posted January 18, 2014.",,570,0 of 2 people (0%) found this review helpful,False,1
,Posted May 27.,,237310,0 of 3 people (0%) found this review helpful,True,1
,"Posted January 1, 2014.",,211820,2 of 10 people (20%) found this review helpful,False,1
,"Posted November 14, 2014.",,241930,No ratings yet,True,1
