funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
20 people found this review funny,"Posted July 29, 2015.","Last edited July 29, 2015.",327890,13 of 21 people (62%) found this review helpful,True,0
5 people found this review funny,Posted February 26.,,441870,10 of 18 people (56%) found this review helpful,True,1
,"Posted July 3, 2015.",,274190,0 of 1 people (0%) found this review helpful,True,1
,"Posted October 11, 2014.",,244850,0 of 1 people (0%) found this review helpful,True,2
,"Posted October 11, 2014.",,257710,0 of 6 people (0%) found this review helpful,True,1
,"Posted September 26, 2015.",,17300,No ratings yet,True,1
,"Posted May 24, 2015.",,259080,No ratings yet,True,2
,"Posted May 24, 2015.",,8190,No ratings yet,True,0
,"Posted October 30, 2014.",,8870,No ratings yet,True,1
,"Posted December 30, 2013.",,4000,No ratings yet,True,1
