funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
85 people found this review funny,Posted January 21.,,200510,75 of 85 people (88%) found this review helpful,True,1
22 people found this review funny,Posted February 3.,,427810,24 of 35 people (69%) found this review helpful,True,2
,Posted March 26.,,250520,1 of 1 people (100%) found this review helpful,True,2
,Posted June 22.,,262790,1 of 2 people (50%) found this review helpful,True,0
,Posted June 14.,,388880,1 of 2 people (50%) found this review helpful,True,1
,Posted February 5.,Last edited February 5.,268500,1 of 2 people (50%) found this review helpful,True,2
,Posted August 12.,,407900,0 of 1 people (0%) found this review helpful,True,1
,Posted May 25.,,8870,2 of 8 people (25%) found this review helpful,False,0
,"Posted December 1, 2015.",,45100,No ratings yet,False,1
,"Posted November 10, 2015.",,228260,No ratings yet,False,1
