funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted December 23, 2012.",,49520,2 of 2 people (100%) found this review helpful,True,2
,"Posted May 5, 2014.",,293010,5 of 8 people (63%) found this review helpful,True,1
,"Posted February 28, 2015.",,730,1 of 1 people (100%) found this review helpful,True,2
,"Posted August 3, 2014.",,304930,1 of 1 people (100%) found this review helpful,True,2
,"Posted January 31, 2014.",,48700,1 of 1 people (100%) found this review helpful,True,2
,"Posted September 14, 2013.",,218620,1 of 1 people (100%) found this review helpful,True,2
,"Posted March 24, 2012.",,7520,1 of 3 people (33%) found this review helpful,True,2
,"Posted April 30, 2014.",,233450,1 of 7 people (14%) found this review helpful,True,2
,"Posted August 11, 2015.",,346900,No ratings yet,True,2
,"Posted November 17, 2012.",,212680,No ratings yet,True,1
