funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted June 6, 2015.",,313080,4 of 4 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted June 30, 2015.",,374450,7 of 10 people (70%) found this review helpful,False,1
1 person found this review funny,"Posted January 18, 2015.",,570,3 of 3 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted March 20, 2015.",,274170,1 of 1 people (100%) found this review helpful,True,1
2 people found this review funny,"Posted January 18, 2015.",,242760,2 of 3 people (67%) found this review helpful,True,1
,Posted April 30.,,330570,1 of 4 people (25%) found this review helpful,False,2
,"Posted August 23, 2015.",,301640,1 of 4 people (25%) found this review helpful,False,1
1 person found this review funny,"Posted February 15, 2015.",,500,0 of 5 people (0%) found this review helpful,False,1
,"Posted April 12, 2015.",,205350,No ratings yet,False,0
,"Posted June 15, 2014.",,265930,No ratings yet,True,1
