funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted March 29, 2015.",,219740,1 of 1 people (100%) found this review helpful,True,1
,"Posted October 11, 2014.",Last edited July 1.,440,1 of 1 people (100%) found this review helpful,True,1
,"Posted February 28, 2015.",,208090,0 of 1 people (0%) found this review helpful,True,2
,"Posted October 12, 2014.",,304930,0 of 1 people (0%) found this review helpful,False,0
,"Posted October 12, 2014.",,224260,3 of 13 people (23%) found this review helpful,False,1
,"Posted May 25, 2015.",,230410,No ratings yet,True,2
,"Posted February 28, 2015.",,238460,No ratings yet,True,1
,"Posted January 23, 2015.",,113400,No ratings yet,False,0
,"Posted October 11, 2014.",,620,No ratings yet,True,1
,"Posted October 11, 2014.",Last edited July 1.,570,No ratings yet,True,0
