funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
10 people found this review funny,Posted August 6.,,212480,33 of 35 people (94%) found this review helpful,True,2
7 people found this review funny,"Posted February 13, 2015.",,71340,4 of 4 people (100%) found this review helpful,True,1
1 person found this review funny,Posted April 16.,Last edited April 27.,6060,2 of 3 people (67%) found this review helpful,True,2
,"Posted June 24, 2015.",,211600,1 of 2 people (50%) found this review helpful,True,1
1 person found this review funny,Posted February 28.,,418340,1 of 3 people (33%) found this review helpful,True,1
,"Posted July 9, 2015.",,238090,0 of 1 people (0%) found this review helpful,True,2
1 person found this review funny,"Posted June 24, 2015.",,6910,0 of 1 people (0%) found this review helpful,True,1
,"Posted April 5, 2014.",,230190,0 of 2 people (0%) found this review helpful,True,1
,Posted April 15.,,24240,No ratings yet,True,2
,"Posted June 27, 2014.",,203650,No ratings yet,True,1
