funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted March 21, 2014.",,271290,1 of 1 people (100%) found this review helpful,True,2
,"Posted December 26, 2015.",,255220,0 of 1 people (0%) found this review helpful,True,2
1 person found this review funny,Posted September 3.,,201810,1 of 5 people (20%) found this review helpful,False,0
2 people found this review funny,Posted September 3.,,298110,No ratings yet,True,2
,Posted June 15.,,278360,No ratings yet,True,2
1 person found this review funny,"Posted December 16, 2015.",,423880,No ratings yet,True,2
,"Posted January 7, 2015.",,219640,No ratings yet,True,2
,"Posted January 7, 2015.",,8870,No ratings yet,True,2
,"Posted January 7, 2015.",,332800,No ratings yet,True,1
,"Posted January 7, 2015.",,319510,No ratings yet,True,1
