funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
13 people found this review funny,Posted April 11.,Last edited June 29.,374320,126 of 232 people (54%) found this review helpful,False,0
6 people found this review funny,Posted March 29.,,395238,8 of 10 people (80%) found this review helpful,True,1
4 people found this review funny,"Posted December 5, 2014.","Last edited January 4, 2015.",332070,21 of 37 people (57%) found this review helpful,True,0
6 people found this review funny,Posted August 12.,,275850,6 of 10 people (60%) found this review helpful,False,1
,Posted February 28.,,730,1 of 1 people (100%) found this review helpful,True,2
1 person found this review funny,Posted January 28.,,427730,2 of 3 people (67%) found this review helpful,True,0
,Posted July 14.,,384490,2 of 4 people (50%) found this review helpful,False,1
2 people found this review funny,"Posted November 1, 2015.",,290140,1 of 3 people (33%) found this review helpful,False,1
26 people found this review funny,Posted March 6.,,449940,38 of 81 people (47%) found this review helpful,False,1
,"Posted November 29, 2015.",,387860,No ratings yet,True,1
