funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted December 10, 2013.",,47810,2 of 2 people (100%) found this review helpful,True,2
,"Posted January 6, 2015.",,233860,2 of 3 people (67%) found this review helpful,True,1
,"Posted November 26, 2013.","Last edited November 26, 2013.",221910,1 of 2 people (50%) found this review helpful,True,1
,"Posted August 11, 2015.",,255710,No ratings yet,True,2
,"Posted November 28, 2013.",,207610,No ratings yet,True,0
,"Posted February 20, 2013.",,4000,No ratings yet,True,2
,"Posted January 2, 2013.",,113200,No ratings yet,True,1
,"Posted July 20, 2012.",,57690,No ratings yet,True,1
,"Posted December 28, 2011.",,57900,No ratings yet,True,0
,"Posted July 16, 2011.",,22200,No ratings yet,True,2
