funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
2 people found this review funny,"Posted December 20, 2014.",,730,2 of 2 people (100%) found this review helpful,True,2
,"Posted September 1, 2015.",,291550,1 of 1 people (100%) found this review helpful,True,1
,Posted June 21.,,236390,3 of 5 people (60%) found this review helpful,False,1
1 person found this review funny,"Posted May 25, 2015.",,304500,1 of 3 people (33%) found this review helpful,False,0
,Posted August 20.,,282070,0 of 1 people (0%) found this review helpful,False,2
,Posted August 14.,,252490,1 of 4 people (25%) found this review helpful,False,0
,"Posted October 15, 2015.",,339280,0 of 3 people (0%) found this review helpful,False,2
,"Posted November 17, 2015.",,227940,0 of 4 people (0%) found this review helpful,False,0
,Posted August 20.,,242050,No ratings yet,False,1
,"Posted September 12, 2015.",,386360,No ratings yet,True,1
