funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
40 people found this review funny,Posted August 22.,,383080,25 of 27 people (93%) found this review helpful,True,1
1 person found this review funny,"Posted March 22, 2015.",,730,3 of 3 people (100%) found this review helpful,True,1
1 person found this review funny,Posted August 22.,,370240,1 of 1 people (100%) found this review helpful,False,1
,"Posted February 2, 2015.",,313120,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted January 24, 2015.",,242760,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted October 29, 2015.",,370100,2 of 3 people (67%) found this review helpful,True,1
,"Posted July 3, 2014.",,218620,2 of 3 people (67%) found this review helpful,True,1
1 person found this review funny,"Posted July 14, 2015.",,304050,0 of 2 people (0%) found this review helpful,False,1
3 people found this review funny,Posted August 17.,Last edited August 17.,506140,21 of 50 people (42%) found this review helpful,False,2
9 people found this review funny,Posted August 22.,Last edited August 22.,262060,2 of 13 people (15%) found this review helpful,True,1
