funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted April 7, 2015.",,250340,0 of 4 people (0%) found this review helpful,False,0
,Posted July 7.,,570,No ratings yet,True,1
,Posted March 18.,,230290,No ratings yet,True,1
1 person found this review funny,"Posted December 9, 2015.",,385800,No ratings yet,True,1
,"Posted November 23, 2015.",,417860,No ratings yet,True,0
,"Posted May 20, 2015.",,251870,No ratings yet,True,2
,"Posted March 13, 2015.",,242760,No ratings yet,True,2
,"Posted February 9, 2015.",,24960,No ratings yet,True,0
,"Posted January 12, 2015.",,4000,No ratings yet,True,0
,"Posted December 3, 2014.",,334660,No ratings yet,True,2
