funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted June 26, 2015.",,237930,1 of 2 people (50%) found this review helpful,True,2
,"Posted May 16, 2015.","Last edited October 25, 2015.",49520,1 of 2 people (50%) found this review helpful,True,0
,"Posted May 16, 2015.",,245170,1 of 2 people (50%) found this review helpful,True,2
,"Posted May 20, 2013.","Last edited May 16, 2015.",31280,1 of 2 people (50%) found this review helpful,True,1
1 person found this review funny,Posted January 26.,,391540,0 of 1 people (0%) found this review helpful,True,0
,"Posted November 5, 2015.","Last edited November 5, 2015.",334230,0 of 2 people (0%) found this review helpful,True,1
,"Posted May 16, 2015.",Last edited March 10.,730,0 of 2 people (0%) found this review helpful,True,0
,"Posted October 3, 2013.","Last edited May 16, 2015.",107100,0 of 2 people (0%) found this review helpful,True,2
1 person found this review funny,"Posted December 28, 2015.",,398100,0 of 4 people (0%) found this review helpful,True,2
,Posted March 6.,Last edited May 15.,338170,No ratings yet,True,1
