funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted February 1, 2014.",,8870,19 of 21 people (90%) found this review helpful,True,2
,"Posted February 28, 2014.",,254700,9 of 9 people (100%) found this review helpful,True,1
,"Posted January 18, 2014.",,260210,5 of 6 people (83%) found this review helpful,True,2
,Posted March 31.,,391540,1 of 1 people (100%) found this review helpful,True,2
,"Posted October 16, 2014.",,292120,2 of 3 people (67%) found this review helpful,True,2
,Posted February 5.,,349040,No ratings yet,True,1
,Posted January 31.,,391220,No ratings yet,True,2
,"Posted September 7, 2015.",,319630,No ratings yet,True,1
,"Posted July 23, 2015.",,346110,No ratings yet,True,2
,"Posted August 31, 2014.",,207610,No ratings yet,True,2
