funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
3 people found this review funny,Posted June 17.,,404090,4 of 20 people (20%) found this review helpful,True,1
,Posted August 13.,,434250,No ratings yet,True,2
,Posted April 27.,,234140,No ratings yet,True,0
,Posted April 23.,,200510,No ratings yet,True,2
,Posted March 29.,,22380,No ratings yet,True,1
,Posted February 28.,,730,No ratings yet,True,2
,Posted February 20.,Last edited February 20.,292030,No ratings yet,True,2
,Posted January 5.,,330830,No ratings yet,True,2
,"Posted December 19, 2015.",,271590,No ratings yet,True,2
,"Posted August 9, 2015.","Last edited November 27, 2015.",218620,No ratings yet,False,1
