funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted July 17, 2012.",,107900,0 of 2 people (0%) found this review helpful,True,0
,"Posted May 18, 2012.",,104700,0 of 2 people (0%) found this review helpful,True,2
,"Posted January 6, 2012.",,440,0 of 2 people (0%) found this review helpful,True,2
,"Posted December 27, 2011.",,113400,0 of 2 people (0%) found this review helpful,True,2
,"Posted December 13, 2014.",,43110,1 of 5 people (20%) found this review helpful,True,2
,"Posted January 9, 2015.",,224420,0 of 3 people (0%) found this review helpful,True,2
,"Posted December 28, 2011.",,80,0 of 3 people (0%) found this review helpful,True,2
,"Posted November 8, 2014.",,297020,1 of 6 people (17%) found this review helpful,True,2
,"Posted October 31, 2014.",,222900,1 of 7 people (14%) found this review helpful,True,2
,Posted August 17.,,319630,No ratings yet,True,2
