funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted September 13, 2014.",,4000,0 of 2 people (0%) found this review helpful,True,1
,"Posted September 13, 2014.",,244850,0 of 2 people (0%) found this review helpful,True,1
,"Posted September 13, 2014.",,227300,0 of 2 people (0%) found this review helpful,True,1
,"Posted September 13, 2014.",,258880,0 of 2 people (0%) found this review helpful,True,1
,"Posted September 13, 2014.",,258760,3 of 9 people (33%) found this review helpful,True,1
,"Posted September 13, 2014.",,214130,3 of 9 people (33%) found this review helpful,True,2
,"Posted December 19, 2013.",,244930,2 of 9 people (22%) found this review helpful,True,1
,"Posted June 11, 2015.",,253710,No ratings yet,True,1
,"Posted January 16, 2015.",,295110,No ratings yet,True,2
,"Posted June 24, 2014.",,242920,No ratings yet,True,0
