funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted June 30, 2015.",,550,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted June 30, 2015.",,271590,1 of 2 people (50%) found this review helpful,True,1
,"Posted May 7, 2015.",Last edited June 23.,221100,0 of 2 people (0%) found this review helpful,True,0
,Posted March 30.,,33930,No ratings yet,True,0
,"Posted September 22, 2015.",,10090,No ratings yet,True,1
,"Posted June 30, 2015.",,49520,No ratings yet,True,2
,"Posted June 30, 2015.",,12210,No ratings yet,True,1
,"Posted June 30, 2015.",,730,No ratings yet,True,1
,"Posted June 30, 2015.",,1840,No ratings yet,True,2
,"Posted June 30, 2015.",,107410,No ratings yet,True,0
