funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted September 21, 2015.",,238460,1 of 1 people (100%) found this review helpful,True,2
1 person found this review funny,"Posted July 17, 2013.",,550,1 of 1 people (100%) found this review helpful,True,2
1 person found this review funny,"Posted September 21, 2015.",,220,2 of 3 people (67%) found this review helpful,True,1
,"Posted September 21, 2015.",,204360,1 of 2 people (50%) found this review helpful,True,2
,"Posted September 21, 2015.",,346010,1 of 2 people (50%) found this review helpful,True,1
1 person found this review funny,"Posted September 21, 2015.",,323470,1 of 2 people (50%) found this review helpful,True,2
1 person found this review funny,"Posted August 16, 2014.",,251570,1 of 2 people (50%) found this review helpful,True,2
1 person found this review funny,"Posted September 21, 2015.",,218620,1 of 3 people (33%) found this review helpful,True,1
,"Posted September 21, 2015.",,227940,1 of 3 people (33%) found this review helpful,False,0
,"Posted July 17, 2013.",,4000,No ratings yet,True,0
