funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted July 13, 2015.","Last edited October 16, 2015.",730,1 of 1 people (100%) found this review helpful,True,0
,"Posted July 13, 2015.",,266010,1 of 2 people (50%) found this review helpful,True,1
,"Posted July 16, 2015.",,230410,0 of 1 people (0%) found this review helpful,False,1
,"Posted July 13, 2015.",,282800,No ratings yet,True,1
,"Posted July 13, 2015.",,249870,No ratings yet,False,2
,"Posted July 11, 2015.",,281690,No ratings yet,False,1
,"Posted July 11, 2015.",,40800,No ratings yet,True,1
,"Posted January 20, 2015.",,310370,No ratings yet,True,1
,"Posted December 14, 2014.",,49520,No ratings yet,True,1
,"Posted November 14, 2014.","Last edited July 13, 2015.",440,No ratings yet,True,1
