funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted September 11, 2015.",,200260,2 of 2 people (100%) found this review helpful,True,2
1 person found this review funny,"Posted August 4, 2015.",Last edited March 27.,274190,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted July 4, 2015.",,550,1 of 1 people (100%) found this review helpful,True,1
,"Posted May 26, 2015.",,49520,1 of 1 people (100%) found this review helpful,True,0
,"Posted September 27, 2015.",,313372,0 of 1 people (0%) found this review helpful,True,2
1 person found this review funny,"Posted March 28, 2015.",,316410,0 of 1 people (0%) found this review helpful,True,1
,"Posted October 31, 2015.",,219150,No ratings yet,True,1
,"Posted July 17, 2015.",,440,No ratings yet,True,1
,"Posted June 29, 2015.",Last edited April 18.,8870,No ratings yet,True,1
,"Posted March 5, 2015.",Last edited April 18.,8930,No ratings yet,True,1
