funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
10 people found this review funny,"Posted September 28, 2015.","Last edited September 28, 2015.",2870,122 of 184 people (66%) found this review helpful,True,1
1 person found this review funny,"Posted December 27, 2015.",,303210,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted September 8, 2015.",,49600,1 of 1 people (100%) found this review helpful,True,2
,"Posted October 27, 2015.",,209670,No ratings yet,True,1
,"Posted August 31, 2015.",,201310,No ratings yet,True,1
,"Posted June 9, 2015.",,266430,No ratings yet,True,2
,"Posted June 7, 2015.",,4000,No ratings yet,True,2
,"Posted April 20, 2015.","Last edited April 20, 2015.",251430,No ratings yet,True,2
,"Posted June 23, 2014.",,214830,No ratings yet,True,1
,"Posted December 6, 2013.",,220780,No ratings yet,True,0
