funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted December 16, 2013.",,108600,18 of 23 people (78%) found this review helpful,True,1
,Posted February 26.,,359550,5 of 5 people (100%) found this review helpful,True,1
,"Posted August 26, 2015.",,339230,5 of 7 people (71%) found this review helpful,True,1
,Posted June 3.,,232090,1 of 1 people (100%) found this review helpful,True,2
,"Posted March 8, 2015.",,346010,1 of 1 people (100%) found this review helpful,True,1
,"Posted January 7, 2014.","Last edited January 7, 2014.",239200,3 of 5 people (60%) found this review helpful,False,2
,Posted July 9.,,273350,1 of 2 people (50%) found this review helpful,True,1
,Posted June 23.,Last edited June 24.,390340,1 of 3 people (33%) found this review helpful,True,1
,"Posted September 18, 2014.","Last edited February 9, 2015.",211820,No ratings yet,True,0
,"Posted January 20, 2014.",,25000,No ratings yet,True,1
