funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted June 29, 2014.",,238460,3 of 3 people (100%) found this review helpful,True,1
3 people found this review funny,"Posted January 17, 2015.",,322330,1 of 1 people (100%) found this review helpful,True,1
,"Posted December 9, 2014.",,212480,1 of 1 people (100%) found this review helpful,True,1
,"Posted December 25, 2013.",,440,1 of 1 people (100%) found this review helpful,True,2
,"Posted October 9, 2014.","Last edited March 3, 2015.",270550,2 of 3 people (67%) found this review helpful,True,2
,"Posted June 13, 2015.",,266840,2 of 4 people (50%) found this review helpful,True,1
,"Posted December 9, 2014.",,218680,1 of 2 people (50%) found this review helpful,True,2
,"Posted June 29, 2014.",,204360,2 of 4 people (50%) found this review helpful,True,1
,Posted May 15.,,466910,No ratings yet,True,2
,"Posted December 9, 2014.",,221260,No ratings yet,True,1
