funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted February 7, 2015.",,22380,8 of 8 people (100%) found this review helpful,True,1
,"Posted May 12, 2015.",,247080,8 of 10 people (80%) found this review helpful,True,2
,"Posted December 28, 2014.",,19900,3 of 5 people (60%) found this review helpful,True,2
,"Posted August 21, 2014.",,35480,6 of 11 people (55%) found this review helpful,True,1
,"Posted April 26, 2015.",,237930,1 of 2 people (50%) found this review helpful,True,2
,"Posted October 23, 2013.",,239350,1 of 2 people (50%) found this review helpful,True,2
,"Posted January 13, 2014.","Last edited January 13, 2014.",224600,0 of 1 people (0%) found this review helpful,True,1
,Posted February 7.,,204450,No ratings yet,True,2
1 person found this review funny,"Posted June 20, 2015.",,204300,No ratings yet,True,0
,"Posted April 5, 2015.",,264200,No ratings yet,True,1
