funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted August 7, 2015.",,332800,1 of 1 people (100%) found this review helpful,True,0
,"Posted July 14, 2015.",,440,1 of 1 people (100%) found this review helpful,True,2
,"Posted April 22, 2014.",,4000,2 of 3 people (67%) found this review helpful,True,1
1 person found this review funny,"Posted August 29, 2015.",,730,1 of 2 people (50%) found this review helpful,True,2
,"Posted July 11, 2014.",,265930,1 of 2 people (50%) found this review helpful,True,2
,"Posted September 9, 2015.",,304930,0 of 1 people (0%) found this review helpful,False,0
,Posted March 5.,,550,No ratings yet,True,1
,"Posted November 28, 2015.",,413850,No ratings yet,True,2
,"Posted July 14, 2015.",,346900,No ratings yet,True,1
,"Posted June 7, 2015.",,400,No ratings yet,True,2
