funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,Posted August 29.,,413150,10 of 11 people (91%) found this review helpful,True,1
1 person found this review funny,Posted April 5.,,201790,2 of 2 people (100%) found this review helpful,True,1
,Posted September 1.,Last edited September 1.,233470,1 of 1 people (100%) found this review helpful,True,1
,Posted August 29.,,730,1 of 1 people (100%) found this review helpful,True,1
,Posted August 29.,,363970,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted August 26, 2012.",,105600,1 of 1 people (100%) found this review helpful,True,1
,Posted August 31.,Last edited August 31.,207610,1 of 2 people (50%) found this review helpful,True,1
,Posted August 31.,,250620,No ratings yet,True,1
,"Posted June 12, 2015.",,40800,No ratings yet,True,2
,"Posted January 26, 2013.",,440,No ratings yet,True,1
