funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted December 16, 2013.",,440,1 of 3 people (33%) found this review helpful,True,2
,"Posted December 18, 2013.",,234710,0 of 1 people (0%) found this review helpful,True,2
,"Posted December 18, 2013.",,31290,0 of 1 people (0%) found this review helpful,True,2
2 people found this review funny,"Posted February 4, 2014.",,218620,1 of 4 people (25%) found this review helpful,True,2
1 person found this review funny,"Posted December 18, 2013.",,12120,1 of 4 people (25%) found this review helpful,True,2
,"Posted December 18, 2013.",,31280,0 of 2 people (0%) found this review helpful,True,2
1 person found this review funny,"Posted December 18, 2013.",,207610,0 of 2 people (0%) found this review helpful,True,2
1 person found this review funny,"Posted December 16, 2013.",,12210,0 of 2 people (0%) found this review helpful,True,1
,"Posted January 8, 2015.",,266840,No ratings yet,True,2
,"Posted August 5, 2014.",,241540,No ratings yet,True,2
