funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted November 26, 2014.",,440,2 of 2 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted December 29, 2014.",,730,1 of 1 people (100%) found this review helpful,True,1
,"Posted August 13, 2014.",,304930,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,Posted April 1.,,346110,0 of 1 people (0%) found this review helpful,True,2
1 person found this review funny,"Posted April 2, 2014.",,51100,0 of 3 people (0%) found this review helpful,True,2
,"Posted March 24, 2015.",,222880,No ratings yet,True,1
,"Posted March 14, 2015.",,277590,No ratings yet,True,2
,"Posted January 11, 2015.",,239660,No ratings yet,True,2
,"Posted May 16, 2014.",,233270,No ratings yet,True,2
,"Posted March 16, 2014.",,104900,No ratings yet,True,1
