funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,Posted June 19.,,211400,9 of 12 people (75%) found this review helpful,False,1
,Posted September 3.,,337000,2 of 3 people (67%) found this review helpful,True,1
1 person found this review funny,Posted February 6.,,268500,1 of 4 people (25%) found this review helpful,True,1
,Posted September 18.,,409710,No ratings yet,True,1
,"Posted December 10, 2015.",,409160,No ratings yet,True,2
,"Posted November 16, 2014.",,239030,No ratings yet,True,1
,"Posted October 10, 2014.",,214490,No ratings yet,True,1
,"Posted August 31, 2014.","Last edited August 31, 2014.",105450,No ratings yet,True,1
,"Posted August 31, 2014.","Last edited August 31, 2014.",108710,No ratings yet,True,1
,"Posted March 9, 2013.",,203160,No ratings yet,True,1
