funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted September 26, 2014.",,440,1 of 1 people (100%) found this review helpful,True,1
,Posted August 6.,,377160,6 of 11 people (55%) found this review helpful,False,1
,Posted February 13.,,50300,1 of 2 people (50%) found this review helpful,True,1
,Posted June 13.,,72750,0 of 1 people (0%) found this review helpful,True,1
,"Posted November 23, 2014.","Last edited November 23, 2014.",72730,4 of 10 people (40%) found this review helpful,False,1
,"Posted November 14, 2015.",,47890,No ratings yet,True,2
,"Posted May 25, 2015.",,227300,No ratings yet,True,1
,"Posted December 19, 2014.",,314160,No ratings yet,True,2
,"Posted May 29, 2014.","Last edited October 27, 2015.",218620,No ratings yet,False,2
,"Posted March 9, 2014.",,17570,No ratings yet,True,2
