funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted September 3, 2014.",,200210,2 of 3 people (67%) found this review helpful,True,1
1 person found this review funny,"Posted August 19, 2014.",,620,2 of 4 people (50%) found this review helpful,True,1
,"Posted August 16, 2014.",,211820,4 of 10 people (40%) found this review helpful,True,2
,"Posted May 9, 2014.","Last edited May 9, 2014.",570,0 of 2 people (0%) found this review helpful,False,1
,"Posted May 9, 2014.",,42910,2 of 7 people (29%) found this review helpful,False,0
,"Posted May 30, 2015.",,219640,0 of 3 people (0%) found this review helpful,False,0
,"Posted July 6, 2014.","Last edited July 6, 2014.",550,7 of 18 people (39%) found this review helpful,False,1
,"Posted May 9, 2014.",,99900,4 of 12 people (33%) found this review helpful,False,0
,"Posted May 9, 2014.",,240,0 of 6 people (0%) found this review helpful,True,1
,"Posted September 26, 2014.",Last edited June 21.,218620,No ratings yet,True,1
