funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted June 27, 2015.","Last edited June 27, 2015.",218060,0 of 1 people (0%) found this review helpful,True,1
,"Posted June 19, 2014.",,253710,0 of 2 people (0%) found this review helpful,False,0
,"Posted September 27, 2015.",,63710,No ratings yet,True,1
,"Posted June 18, 2015.","Last edited June 22, 2015.",1510,No ratings yet,True,1
,"Posted July 23, 2014.",,223710,No ratings yet,True,1
,"Posted July 21, 2014.",,105600,No ratings yet,True,0
,"Posted July 18, 2014.",,304930,No ratings yet,True,2
,"Posted June 26, 2014.",,246700,No ratings yet,True,1
,"Posted June 23, 2014.",,204300,No ratings yet,True,1
,"Posted April 29, 2014.",,218230,No ratings yet,True,2
