funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted July 25, 2014.","Last edited August 25, 2014.",218680,4 of 6 people (67%) found this review helpful,True,1
,"Posted October 17, 2014.",,208090,1 of 5 people (20%) found this review helpful,False,0
,"Posted October 4, 2014.",,265630,0 of 10 people (0%) found this review helpful,False,2
,"Posted October 17, 2014.",,4000,0 of 12 people (0%) found this review helpful,False,0
,"Posted October 31, 2014.","Last edited November 6, 2014.",247120,7 of 28 people (25%) found this review helpful,False,0
,"Posted November 22, 2014.","Last edited December 3, 2014.",105600,No ratings yet,True,2
,"Posted September 5, 2014.","Last edited October 7, 2014.",200210,No ratings yet,False,0
,"Posted August 22, 2014.","Last edited September 21, 2014.",298260,No ratings yet,False,1
,"Posted August 15, 2014.","Last edited November 3, 2014.",440,No ratings yet,True,1
,"Posted August 9, 2014.","Last edited October 3, 2014.",304930,No ratings yet,True,1
