funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted December 23, 2013.",,440,2 of 2 people (100%) found this review helpful,True,2
,"Posted April 7, 2014.",,15700,1 of 1 people (100%) found this review helpful,True,2
,"Posted April 7, 2014.",,204100,1 of 1 people (100%) found this review helpful,True,1
,"Posted April 3, 2014.",,8850,1 of 1 people (100%) found this review helpful,True,1
,"Posted February 9, 2014.",,49520,1 of 1 people (100%) found this review helpful,True,1
,"Posted December 31, 2013.",,12210,1 of 1 people (100%) found this review helpful,True,2
,"Posted May 29, 2015.",,220440,0 of 1 people (0%) found this review helpful,True,2
,"Posted June 13, 2014.",,209000,No ratings yet,True,2
,"Posted April 24, 2014.",,1840,No ratings yet,True,2
,"Posted April 7, 2014.",,35140,No ratings yet,True,0
