funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted July 13, 2014.",Last edited April 12.,304930,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,Posted May 2.,,355840,1 of 3 people (33%) found this review helpful,True,1
,Posted March 29.,Last edited April 10.,251570,0 of 1 people (0%) found this review helpful,True,1
,Posted April 13.,Last edited April 13.,412880,No ratings yet,True,1
,Posted March 29.,,230410,No ratings yet,True,1
,Posted March 29.,Last edited April 12.,4000,No ratings yet,True,1
,"Posted September 5, 2015.",Last edited June 1.,91310,No ratings yet,True,2
,"Posted August 27, 2015.",Last edited May 2.,346110,No ratings yet,True,1
,"Posted August 27, 2015.",Last edited April 12.,291480,No ratings yet,True,1
,"Posted March 29, 2014.",Last edited April 12.,17410,No ratings yet,True,2
